Date,Open,High,Low,Close,Adj Close,Volume
15/04/2016,4.765,4.82,4.715,4.82,4.82,668600
18/04/2016,4.76,5.135,4.76,5.115,5.115,295500
19/04/2016,5.145,5.215,4.935,5.07,5.07,1797400
20/04/2016,5.14,5.185,5.02,5.04,5.04,301200
21/04/2016,4.995,5.03,4.875,4.955,4.955,247900
22/04/2016,4.925,5.085,4.89,5.075,5.075,189900
25/04/2016,5.005,5.03,4.9,5.005,5.005,219200
26/04/2016,5.065,5.15,5.035,5.115,5.115,94400
27/04/2016,5.05,5.32,5.025,5.27,5.27,148800
28/04/2016,5.18,5.36,4.93,4.97,4.97,169000
29/04/2016,4.91,4.955,4.575,4.785,4.785,685100
02/05/2016,4.88,5.14,4.85,5.085,5.085,191900
03/05/2016,4.94,4.95,4.755,4.85,4.85,209500
04/05/2016,4.725,4.82,4.69,4.795,4.795,390100
05/05/2016,4.875,4.905,4.73,4.795,4.795,227800
06/05/2016,4.8,5.025,4.78,5.005,5.005,219300
09/05/2016,5.055,5.225,5.045,5.12,5.12,132300
10/05/2016,5.25,5.385,5.25,5.38,5.38,274500
11/05/2016,5.36,5.425,5.155,5.195,5.195,362600
12/05/2016,5.25,5.325,5.04,5.235,5.235,373400
13/05/2016,5.23,5.34,5.02,5.065,5.065,911000
16/05/2016,5.105,5.34,5.1,5.285,5.285,364200
17/05/2016,5.25,5.255,4.985,5.055,5.055,533900
18/05/2016,5.04,5.23,4.97,5.06,5.06,758900
19/05/2016,4.99,5.055,4.79,5.05,5.05,582500
20/05/2016,5.15,5.24,5.145,5.225,5.225,369100
24/05/2016,5.325,5.52,5.32,5.48,5.48,680800
25/05/2016,5.57,5.675,5.515,5.57,5.57,407900
26/05/2016,5.595,5.645,5.565,5.62,5.62,337900
27/05/2016,5.665,5.78,5.655,5.775,5.775,532400
30/05/2016,5.84,5.84,5.8,5.835,5.835,2600
31/05/2016,5.865,5.885,5.625,5.815,5.815,537000
01/06/2016,5.68,5.865,5.635,5.835,5.835,176400
02/06/2016,5.755,6,5.71,6,6,253100
03/06/2016,5.9,6.05,5.745,6.02,6.02,698000
06/06/2016,6.04,6.12,5.96,6.085,6.085,223100
07/06/2016,6.15,6.215,6.08,6.08,6.08,165900
08/06/2016,6.085,6.125,5.995,6.045,6.045,112900
09/06/2016,5.92,6,5.865,5.94,5.94,293800
10/06/2016,5.67,5.705,5.38,5.415,5.415,386000
13/06/2016,5.155,5.29,4.57,4.59,4.59,1209400
14/06/2016,4.505,4.75,4.435,4.675,4.675,953700
15/06/2016,4.73,4.92,4.69,4.735,4.735,707600
16/06/2016,4.53,4.9,4.35,4.845,4.845,894500
17/06/2016,4.845,4.945,4.765,4.855,4.855,475500
20/06/2016,5.17,5.305,5.16,5.18,5.18,610700
21/06/2016,5.28,5.285,5.065,5.15,5.15,342600
22/06/2016,5.145,5.29,4.92,4.975,4.975,525100
23/06/2016,5.23,5.485,5.18,5.465,5.465,645600
24/06/2016,4.28,4.815,3.85,4,4,3037200
27/06/2016,3.91,3.91,3.66,3.88,3.88,2151200
28/06/2016,4.01,4.215,4,4.195,4.195,2391000
29/06/2016,4.36,4.46,4.31,4.43,4.43,1217700
30/06/2016,4.485,4.57,4.405,4.54,4.54,842700
04/07/2016,4.625,4.63,4.535,4.535,4.535,69200
05/07/2016,4.575,4.615,4.43,4.6,4.6,381300
06/07/2016,4.51,4.72,4.465,4.715,4.715,865100
07/07/2016,4.775,4.865,4.615,4.8,4.8,383700
08/07/2016,4.985,5.14,4.955,5.115,5.115,1157800
11/07/2016,5.205,5.235,5.1,5.1,5.1,175100
12/07/2016,5.23,5.25,5.12,5.225,5.225,148200
13/07/2016,5.27,5.32,5.19,5.3,5.3,353900
14/07/2016,5.35,5.405,5.3,5.32,5.32,223300
15/07/2016,5.37,5.38,5.185,5.335,5.335,180200
18/07/2016,5.33,5.48,5.305,5.44,5.44,129000
19/07/2016,5.425,5.505,5.35,5.44,5.44,142300
20/07/2016,5.52,5.635,5.51,5.605,5.605,148500
21/07/2016,5.59,5.615,5.365,5.425,5.425,284600
22/07/2016,5.455,5.615,5.43,5.57,5.57,112200
25/07/2016,5.625,5.635,5.395,5.585,5.585,175400
26/07/2016,5.595,5.65,5.495,5.645,5.645,233300
27/07/2016,5.705,5.815,5.565,5.765,5.765,214800
28/07/2016,5.735,5.91,5.69,5.875,5.875,196400
29/07/2016,5.9,6.115,5.895,6.085,6.085,152700
02/08/2016,6.105,6.135,5.76,5.935,5.935,338600
03/08/2016,5.925,6.095,5.89,6.09,6.09,153500
04/08/2016,6.165,6.295,6.11,6.25,6.25,207000
05/08/2016,6.42,6.555,6.41,6.47,6.47,305400
08/08/2016,6.55,6.62,6.535,6.61,6.61,111800
09/08/2016,6.7,6.855,6.625,6.72,6.72,220300
10/08/2016,6.76,6.785,6.445,6.575,6.575,277100
11/08/2016,6.655,6.725,6.575,6.61,6.61,134800
12/08/2016,6.57,6.71,6.52,6.655,6.655,364000
15/08/2016,6.725,6.8,6.715,6.76,6.76,103800
16/08/2016,6.645,6.645,6.51,6.535,6.535,190400
17/08/2016,6.575,6.73,6.395,6.72,6.72,230300
18/08/2016,6.685,6.815,6.65,6.815,6.815,190300
19/08/2016,6.715,6.815,6.685,6.785,6.785,234200
22/08/2016,6.71,6.785,6.66,6.75,6.75,229600
23/08/2016,6.805,6.845,6.77,6.77,6.77,160800
24/08/2016,6.75,6.75,6.56,6.625,6.625,215700
25/08/2016,6.515,6.69,6.51,6.62,6.62,94000
26/08/2016,6.66,6.85,6.38,6.59,6.59,294700
29/08/2016,6.625,6.77,6.625,6.74,6.74,126600
30/08/2016,6.755,6.81,6.675,6.78,6.78,278400
31/08/2016,6.77,6.79,6.575,6.75,6.75,165400
01/09/2016,6.79,6.805,6.605,6.78,6.78,270200
02/09/2016,6.915,7.025,6.9,7.025,7.025,118100
06/09/2016,7.08,7.21,7.03,7.205,7.205,81100
07/09/2016,7.2,7.315,7.19,7.305,7.305,112800
08/09/2016,7.3,7.305,7.19,7.27,7.27,161600
09/09/2016,7.01,7.01,6.095,6.11,6.11,1312000
12/09/2016,6.055,6.57,5.965,6.515,6.515,473200
13/09/2016,6.25,6.28,5.445,5.625,5.625,1133400
14/09/2016,5.74,6,5.645,5.715,5.715,918800
15/09/2016,5.73,5.97,5.61,5.905,5.905,488200
16/09/2016,5.775,6.015,5.7,6.005,6.005,936800
19/09/2016,6.19,6.31,6.025,6.15,6.15,220400
20/09/2016,6.28,6.285,6.085,6.195,6.195,631800
21/09/2016,6.275,6.675,6.185,6.64,6.64,561200
22/09/2016,6.835,6.895,6.76,6.865,6.865,289300
23/09/2016,6.84,6.9,6.785,6.82,6.82,142300
26/09/2016,6.56,6.595,6.375,6.43,6.43,610900
27/09/2016,6.45,6.83,6.4,6.795,6.795,227400
28/09/2016,6.84,6.875,6.61,6.87,6.87,223200
29/09/2016,6.85,6.93,6.2,6.44,6.44,1046200
30/09/2016,6.67,6.795,6.565,6.73,6.73,293500
03/10/2016,6.65,6.77,6.59,6.75,6.75,119100
04/10/2016,6.795,6.9,6.6,6.76,6.76,517600
05/10/2016,6.84,6.875,6.8,6.815,6.815,149400
06/10/2016,6.8,6.905,6.755,6.875,6.875,182100
07/10/2016,6.925,6.935,6.725,6.865,6.865,301500
11/10/2016,6.93,6.95,6.53,6.625,6.625,1208400
12/10/2016,6.445,6.795,6.445,6.635,6.635,180700
